"business_id","name","city","state","stars","review_count","categories","latitude","longitude","is_open","postal_code"
"gnKjwL_1w79qoiV3IC_xQQ","Musashi Japanese Restaurant","Charlotte","NC",4,170,"Sushi Bars, Restaurants, Japanese",35.092564,-80.859132,1,28210
"1Dfx3zM-rW4n-31KeC8sJg","Taco Bell","Phoenix","AZ",3,18,"Restaurants, Breakfast & Brunch, Mexican, Tacos, Tex-Mex, Fast Food",33.4951941,-112.0285876,1,85016
"fweCYi8FmbJXHCqLnwuk8w","Marco's Pizza","Mentor-on-the-Lake","OH",4,16,"Italian, Restaurants, Pizza, Chicken Wings",41.70852,-81.359556,1,44060
"1RHY4K3BD22FK7Cfftn8Mg","Marathon Diner","Pittsburgh","PA",4,35,"Sandwiches, Salad, Restaurants, Burgers, Comfort Food",40.4961769456,-80.2460112364,1,15231
"tstimHoMcYbkSC4eBA1wEg","Maria's Mexican Restaurant & Bakery","Las Vegas","NV",4.5,184,"Mexican, Restaurants, Patisserie/Cake Shop, Food, Bars, Nightlife",36.1956146,-115.0405289,1,89156
"dQj5DLZjeDK3KFysh1SYOQ","Apteka","Pittsburgh","PA",4.5,242,"Nightlife, Bars, Polish, Modern European, Restaurants, Vegan",40.4656937,-79.9493238,1,15224
"v-scZMU6jhnmV955RSzGJw","No. 1 Sushi Sushi","Pittsburgh","PA",4.5,106,"Japanese, Sushi Bars, Restaurants",40.441062,-80.002126,1,15222
"KFbUQ-RR2UOV62Ep7WnXHw","Westwood Bar & Grill","West Mifflin","PA",3,5,"American (Traditional), Restaurants",40.376674,-79.88248,1,15122
"44YFU284Z3KDEy25QyVoUw","Nee House Chinese Restaurant","Phoenix","AZ",3.5,269,"Chinese, Restaurants",33.6130201898,-111.9770356779,1,85032
"X8mtoSxY8whtmbDlj0D3Aw","Imperial Asian Buffet","Las Vegas","NV",2,4,"Restaurants, Chinese",36.238596,-115.2333307,1,89030
"7aLkFEBnL1LJmQdcuaovuQ","Ohio Beer Garden","North Olmsted","OH",4,8,"Restaurants, Pubs, Bars, Nightlife, American (Traditional), Beer Gardens",41.4165875685,-81.9043700652,1,44070
"0lFAD4CuWcQVl9u3-lRaCQ","Cruisers Bar and Grill","Hudson","OH",3.5,12,"Pubs, Restaurants, Bars, Event Planning & Services, American (Traditional), Nightlife, Lounges, Venues & Event Spaces, Sports Bars",41.261133,-81.503467,1,44236
"ysfeDcLAYk_MVzfBmyiSTg","Vals Getaway DES Cafeteria","Phoenix","AZ",3,14,"Restaurants, Food, Cafes",33.4468055,-112.0971288,1,85007
"L0aSDVHNXCl6sY4cfZQ-5Q","Mai Thai II","Concord","NC",4,108,"Restaurants, Thai",35.364974,-80.708763,1,28027
"jScBTQtdAt-8RshaiBEHgw","Served","Henderson","NV",4.5,664,"Ethnic Food, American (New), Burgers, Food, Restaurants, Asian Fusion, Specialty Food, Mexican, Sandwiches, Breakfast & Brunch, Korean",36.0107451,-115.0648029,1,89012
"U3kygJOTlTQFlfaZS7sQjA","JJ's Red Hots - Dilworth","Charlotte","NC",4,380,"Caterers, Hot Dogs, Restaurants, Vegetarian, American (Traditional), Event Planning & Services",35.1997979674,-80.842294693,1,28203
"nsNONDHbV7Vudqh21uicqw","Salt Cellar","Scottsdale","AZ",3.5,526,"Seafood, Restaurants",33.454286,-111.909405,1,85257
"6fPQJq4f_yiq1NHn0fd11Q","La Creperie","Las Vegas","NV",3.5,535,"French, Restaurants, Creperies",36.1125266402,-115.1713514328,1,89109
"k-dDZvTeLysoJvjHI-qr9g","Feast Buffet","Las Vegas","NV",3,287,"Buffets, Restaurants",36.1421161808,-115.1742515629,1,89102
"5WMIvoMx3l1vn1uJ3HZB6Q","Subway","Pittsburgh","PA",3,3,"Fast Food, Sandwiches, Restaurants",40.4428627,-79.996412,1,15219
"Rs8Wi4OEjeOX7LVlzsXDOA","Sushi Mocorito","Phoenix","AZ",3,9,"Restaurants, Mexican, Sushi Bars",33.5371638,-112.1329258,1,85051
"MhnihE0alud0ereVInSt8Q","Yummy Yummy Chinese Restaurant","Scottsdale","AZ",3,188,"Chinese, Restaurants",33.478754,-111.925484,1,85257
